name,category,hours,has_group_order_experience,address,phone,comment,tags,naver_place_url
식당 이름,메뉴 카테고리,영업시간,간식행사 경험유무,주소,전화번호,특이사항(여기 맛있음. 이거 저번에 줬는데 맛있었음. 안암 맛집.),태그 내용,네이버 지도 링크
본죽&비빔밥,한식,09:40 ~ 20:40,O,서울 성북구 안암동5가 146-18,02-921-7921,배달 가능,#비빔밥 #죽,"https://map.naver.com/p/search/본죽%26비빔밥%20고려대점/place/12977114?placePath=/home?bk_query=본죽&비빔밥%20고려대점&entry=pll&from=nx&fromNxList=true&from=map&fromPanelNum=2&timestamp=202602131534&locale=ko&svcName=map_pcv5&searchText=본죽%26비빔밥%20고려대점&entry=pll&from=nx&fromNxList=true&searchType=place&c=15.00,0,0,0,dh"
비비당,한식,10:00 ~ 19:30,X,서울 성북구 안암동5가 147-5,0507-1485-8029,10~20인분은 배달비 무료. 100인분 이상 시 금액 협의 하에 할인 들어감. ,#비빔밥 #커스텀,https://map.naver.com/p/search/비비당%20안암
고래돈가스,일식,10:00 ~ 21:30,X,서울 동대문구 제기동 137-46,02-953-6592,고래돈까스 단일메뉴. 픽업만 가능,#돈가스,https://map.naver.com/p/search/고래돈가스
밀플랜비,양식,10:30 ~ 21:30,O,서울 성북구 개운사길 52 1층,0507-1347-0773,배달 가능,#부리또,https://map.naver.com/p/search/밀플랜비%20고려대점
프로마치,양식,11:00 ~ 21:00,X,서울 성북구 안암동5가 103-149,0507-1301-8537,배달 가능,#샌드위치 #스프,https://map.naver.com/p/search/프로마치
치비치비,양식,11:30 ~ 24:00,X,서울 성북구 안암동5가 103-101,0507-1403-8878,픽업만 가능. 맛있음,#스테이크 #치킨,https://map.naver.com/p/search/치비치비%20안암
스시미소,일식,10:00 ~ 22:00,O,서울 성북구 안암동5가 86-2,0507-1340-3539,배달 가능. 맛있음,#초밥,https://map.naver.com/p/search/스시미소%20안암
오봉집,한식,11:00 ~ 22:00,X,서울 성북구 안암동5가 15-12,0507-1467-9118,점심시간(11~15시)에 시키면 점심가에 해주심. 픽업만 가능. 맛있음,#낙지 #보쌈 #제육,https://map.naver.com/p/search/오봉집%20고려대점
우승식당,한식,10:00 ~ 20:00,X,서울 성북구 안암동5가 134-43,070-4151-4150,50개 기준 서비스제공(음료수 혹은 반찬 제공),#제육 # 쭈꾸미,https://map.naver.com/p/search/우승식당
이공김밥,한식,09:30 ~ 20:40,O,서울 성북구 안암동5가 134-94,02-926-0005,배달 협의,#김밥,https://map.naver.com/p/search/이공김밥
